,County,People 1 Mile and More,People 1/2 Mile and More,People 10 Miles and More,People 20 Miles and More,Population,State,Civilian labour force,Employed poulation,Rate of Unemployment,Unemployed population
467,Cheyenne,803.2667636,1567.410294,483.72941119999996,16.11066895,9998,NE,5747.0,5622.0,2.0,125.0
468,Chickasaw,3364.364636,3667.108887,759.6234732,0.0,12439,IA,6460.0,6167.0,5.0,293.0
469,Chickasaw,5416.665274,7321.9120060000005,269.8377934,0.0,17392,MS,7151.0,6602.0,8.0,549.0
470,Chicot,2954.881271,4876.3555049999995,42.36583815,0.0,11800,AR,3726.0,3388.0,9.0,338.0
471,Childress,1829.437721,2114.420763,42.02258513,0.0,7041,TX,2866.0,2777.0,3.0,89.0
472,Chilton,15589.19061,17464.38591,357.02081139999996,0.0,43643,AL,19133.0,18054.0,6.0,1079.0
473,Chippewa,7404.384770000001,10675.43335,2459.665352,929.5532461000001,38520,MI,16663.0,15366.0,8.0,1297.0
474,Chippewa,1542.332189,2276.824691,311.3164544,0.0,12441,MN,6945.0,6642.0,4.0,303.0
475,Chippewa,11194.674990000001,14717.47485,244.01803969999997,0.0,62415,WI,33174.0,31612.0,5.0,1562.0
476,Chisago,7612.413990000001,10198.65432,6.292119607,0.0,53887,MN,28734.0,27539.0,4.0,1195.0
477,Chittenden,11654.97772,22850.67713,29.44794324,0.0,156545,VT,94808.0,92227.0,3.0,2581.0
478,Choctaw,5489.172453,6066.913565,1611.534003,0.0,13859,AL,4378.0,3980.0,9.0,398.0
479,Choctaw,3381.634412,3974.5332200000003,179.7566227,0.0,8547,MS,3711.0,3479.0,6.0,232.0
480,Choctaw,6366.532155,7383.094361,1950.840579,243.8284482,15205,OK,5915.0,5461.0,8.0,454.0
481,Chouteau,2072.194332,2193.3254,2016.9878410000001,1390.874134,5813,MT,2520.0,2438.0,3.0,82.0
482,Chowan,3897.860776,4560.171399,801.980659,0.0,14793,NC,5640.0,5237.0,7.0,403.0
483,Christian,4295.653550999999,7769.474666,262.8532282,0.0,34800,IL,15458.0,14441.0,7.0,1017.0
484,Christian,13854.14233,25854.816919999997,431.3388615,0.0,73955,KY,24695.0,23118.0,6.0,1577.0
485,Christian,12911.40374,18693.74649,411.2108029,0.0,77422,MO,43069.0,41248.0,4.0,1821.0
486,Churchill,4179.015794,5715.4318299999995,265.5389772,23.01685363,24877,NV,10616.0,9885.0,7.0,731.0
