,Civilian labour force,County,Employed poulation,Rate of Unemployment,State,Unemployed population
115,19783.0,Santa,17520.0,11.0,AZ,2263.0
116,95782.0,Yavapai,90422.0,6.0,AZ,5360.0
117,93222.0,Yuma,73038.0,22.0,AZ,20184.0
119,9487.0,Arkansas,9092.0,4.0,AR,395.0
120,8146.0,Ashley,7515.0,8.0,AR,631.0
121,16217.0,Baxter,15329.0,6.0,AR,888.0
122,121826.0,Benton,117246.0,4.0,AR,4580.0
123,15844.0,Boone,15072.0,5.0,AR,772.0
124,4383.0,Bradley,4117.0,6.0,AR,266.0
125,2408.0,Calhoun,2277.0,5.0,AR,131.0
126,12657.0,Carroll,12080.0,5.0,AR,577.0
127,3726.0,Chicot,3388.0,9.0,AR,338.0
128,9453.0,Clark,8928.0,6.0,AR,525.0
129,6297.0,Clay,5882.0,7.0,AR,415.0
130,9609.0,Cleburne,8944.0,7.0,AR,665.0
131,3358.0,Cleveland,3169.0,6.0,AR,189.0
132,9537.0,Columbia,8914.0,7.0,AR,623.0
133,8639.0,Conway,8113.0,6.0,AR,526.0
134,50999.0,Craighead,48745.0,4.0,AR,2254.0
135,26854.0,Crawford,25460.0,5.0,AR,1394.0
136,21424.0,Crittenden,20102.0,6.0,AR,1322.0
137,8101.0,Cross,7663.0,5.0,AR,438.0
138,2873.0,Dallas,2666.0,7.0,AR,207.0
139,5547.0,Desha,5142.0,7.0,AR,405.0
140,7926.0,Drew,7374.0,7.0,AR,552.0
141,59915.0,Faulkner,57123.0,5.0,AR,2792.0
142,7412.0,Franklin,7047.0,5.0,AR,365.0
143,4759.0,Fulton,4511.0,5.0,AR,248.0
144,39950.0,Garland,37769.0,6.0,AR,2181.0
145,8258.0,Grant,7883.0,5.0,AR,375.0
146,19950.0,Greene,18918.0,5.0,AR,1032.0
147,9856.0,Hempstead,9369.0,5.0,AR,487.0
148,14158.0,Hot,13445.0,5.0,AR,713.0
149,6057.0,Howard,5802.0,4.0,AR,255.0
150,15667.0,Independence,14656.0,7.0,AR,1011.0
151,4979.0,Izard,4650.0,7.0,AR,329.0
152,6188.0,Jackson,5723.0,8.0,AR,465.0
153,28769.0,Jefferson,26744.0,7.0,AR,2025.0
154,10399.0,Johnson,9801.0,6.0,AR,598.0
155,2617.0,Lafayette,2418.0,8.0,AR,199.0
156,7046.0,Lawrence,6623.0,6.0,AR,423.0
157,3180.0,Lee,2968.0,7.0,AR,212.0
158,4126.0,Lincoln,3873.0,6.0,AR,253.0
159,5594.0,Little,5289.0,6.0,AR,305.0
160,9162.0,Logan,8636.0,6.0,AR,526.0
161,33000.0,Lonoke,31618.0,4.0,AR,1382.0
162,7082.0,Madison,6810.0,4.0,AR,272.0
163,6524.0,Marion,6187.0,5.0,AR,337.0
164,19910.0,Miller,18916.0,5.0,AR,994.0
165,18370.0,Mississippi,16720.0,9.0,AR,1650.0
166,2973.0,Monroe,2793.0,6.0,AR,180.0
167,3227.0,Montgomery,3008.0,7.0,AR,219.0
168,3633.0,Nevada,3452.0,5.0,AR,181.0
169,3394.0,Newton,3230.0,5.0,AR,164.0
170,9882.0,Ouachita,9256.0,6.0,AR,626.0
171,4201.0,Perry,3944.0,6.0,AR,257.0
172,6995.0,Phillips,6466.0,8.0,AR,529.0
173,4168.0,Pike,3922.0,6.0,AR,246.0
174,10064.0,Poinsett,9502.0,6.0,AR,562.0
