Unnamed: 0_x,State,County,Population_x,People 1/2 Mile and More,People 1 Mile and More,People 10 Miles and More,People 20 Miles and More,Unnamed: 0_y,Civilian labour force,Employed poulation,Unemployed population,Rate of Unemployment,Zipcode,Population_y,Unemployment Rate,% of Pop with no education,Latitude,Longitude
59,KS,Anderson,8102,6963.920929000001,4906.221183,1498.826158,0.0,909,4135.0,3935.0,200.0,5.0,,,,,,
60,KY,Anderson,21421,19717.8734,16095.136080000002,0.0,0.0,1016,11200.0,10733.0,467.0,4.0,,,,,,
61,SC,Anderson,187126,168294.4357,133505.6349,4840.529767,0.0,2363,88475.0,83700.0,4775.0,5.0,,,,,,
62,TN,Anderson,75129,62648.3472,42245.136269999995,30.75561767,0.0,2474,33228.0,31292.0,1936.0,6.0,,,,,,
63,TX,Anderson,58458,54022.27443,45324.05163,12890.38273,0.0,2570,22826.0,21930.0,896.0,4.0,,,,,,
64,MO,Andrew,17291,14846.01247,12071.11325,852.3340615000001,0.0,1513,9925.0,9512.0,413.0,4.0,,,,,,
65,TX,Andrews,14786,12439.95521,7559.546456,116.2803136,3.5400081039999995,2571,9293.0,8970.0,323.0,4.0,,,,,,
66,ME,Androscoggin,107702,87467.16199,57998.42469,0.0,0.0,1200,54804.0,52518.0,2286.0,4.0,,,,,,
67,TX,Angelina,86771,78394.21255,63449.3136,4553.083807,154.60422519999997,2572,37364.0,35278.0,2086.0,6.0,,,,,,
68,MD,Anne Arundel,537656,407840.5918,195684.7688,0.0,0.0,,,,,,,,,,,
69,MN,Anoka,330844,287810.0022,187305.5009,0.0,0.0,1342,189854.0,183013.0,6841.0,4.0,,,,,,
70,NC,Anson,26948,25386.81815,21551.50874,67.6691897,0.0,1930,10829.0,10122.0,707.0,7.0,,,,,,
71,NE,Antelope,6685,5684.208789,5018.389985,2759.894401,0.0,1686,3595.0,3503.0,92.0,3.0,,,,,,
72,MI,Antrim,23580,21135.33584,17595.44067,71.46243672,0.0,1261,9972.0,9227.0,745.0,8.0,,,,,,
73,AZ,Apache,71518,67404.7773,61227.022110000005,41849.963339999995,27391.514839999996,103,20518.0,17796.0,2722.0,13.0,,,,,,
74,IA,Appanoose,12887,9652.739186,7649.977701000001,1728.1567539999999,0.0,811,6228.0,5920.0,308.0,5.0,,,,,,
75,GA,Appling,18236,16467.86362,14598.18846,2407.1899670000003,0.0,402,8673.0,8040.0,633.0,7.0,,,,,,
76,VA,Appomattox,14973,13974.778330000001,12384.026609999999,444.65862819999995,0.0,2875,7038.0,6694.0,344.0,5.0,,,,,,
77,TX,Aransas,23158,21597.586040000002,18181.88213,3.2349658289999996,0.0,2573,10051.0,9543.0,508.0,5.0,,,,,,
78,CO,Arapahoe,572003,389809.4714,133928.4956,1172.568972,4.5713256630000005,256,334230.0,321794.0,12436.0,4.0,,,,,,
79,TX,Archer,9054,8199.726662000001,7352.387685,1466.399302,1.489126681,2574,4119.0,3937.0,182.0,4.0,,,,,,
80,CO,Archuleta,12084,10857.37327,9054.77631,1163.678058,1.314497187,257,6010.0,5767.0,243.0,4.0,,,,,,
81,MI,Arenac,15899,14702.34535,13360.47588,30.11195091,0.0,1262,6216.0,5659.0,557.0,9.0,,,,,,
82,AR,Arkansas,19019,15060.566659999999,8260.609081,2333.131466,0.0,119,9487.0,9092.0,395.0,4.0,,,,,,
83,VA,Arlington,207627,79480.61112,5136.1840600000005,0.0,0.0,2876,144282.0,140217.0,4065.0,3.0,,,,,,
84,PA,Armstrong,68941,55349.03954,45712.479119999996,61.0083593,0.0,2288,33025.0,30832.0,2193.0,7.0,,,,,,
85,TX,Armstrong,1901,1900.999997,1900.999997,1896.207974,201.8993181,2575,975.0,949.0,26.0,3.0,,,,,,
86,ME,Aroostook,71870,58037.997820000004,47164.69513,6805.152293000001,497.47554569999994,1201,31704.0,29829.0,1875.0,6.0,,,,,,
87,NE,Arthur,460,460.00000439999997,460.00000439999997,460.00000439999997,456.2348236,1687,224.0,214.0,10.0,5.0,,,,,,
88,LA,Ascension,107215,97010.99522000001,70228.12194,0.0,0.0,1137,61748.0,58625.0,3123.0,5.0,,,,,,
89,NC,Ashe,27281,25631.95467,22828.005090000002,1381.2215800000001,0.0,1931,12310.0,11569.0,741.0,6.0,,,,,,
90,OH,Ashland,53139,42687.68263,31958.30381,0.0,0.0,2084,25973.0,24670.0,1303.0,5.0,,,,,,
91,WI,Ashland,16157,13246.630079999999,9073.481045999999,4176.469801,291.4238791,3101,7929.0,7434.0,495.0,6.0,,,,,,
92,AR,Ashley,21853,17825.83061,12761.777540000001,2666.456939,0.0,120,8146.0,7515.0,631.0,8.0,,,,,,
93,OH,Ashtabula,101497,86682.39772000001,63877.66617999999,0.0,0.0,2085,44344.0,41699.0,2645.0,6.0,,,,,,
94,WA,Asotin,21623,14802.40949,5849.085478,568.102525,177.6674561,3005,9679.0,9212.0,467.0,5.0,,,,,,
95,LA,Assumption,23421,22043.80646,19699.4077,4351.183422,0.0,1138,9816.0,9044.0,772.0,8.0,,,,,,
96,TX,Atascosa,44911,40367.6191,32821.88442,3101.989808,24.0624398,2576,20520.0,19544.0,976.0,5.0,,,,,,
97,KS,Atchison,16924,14659.834680000002,8524.553862,1449.238001,0.0,910,7470.0,7012.0,458.0,6.0,,,,,,
98,MO,Atchison,5685,4616.01265,2821.475291,297.7280279,0.0,1514,2834.0,2707.0,127.0,5.0,,,,,,
99,OH,Athens,64757,57012.142439999996,40286.18082,2137.009538,0.0,2086,27908.0,26172.0,1736.0,6.0,,,,,,
100,GA,Atkinson,8375,7653.515684999999,6832.723268000001,1925.072136,0.0,403,3866.0,3644.0,222.0,6.0,,,,,,
101,NJ,Atlantic,274549,223226.7215,153364.9731,713.6533303,0.0,1808,127902.0,115665.0,12237.0,10.0,,,,,,
102,OK,Atoka,14182,13057.138079999999,11826.06432,5911.026462,96.78818288,2173,4862.0,4546.0,316.0,7.0,,,,,,
103,MS,Attala,19564,17049.47017,12593.68961,1561.578419,0.0,1432,6985.0,6453.0,532.0,8.0,,,,,,
104,MO,Audrain,25529,21978.19041,15347.841059999999,1240.488161,0.0,1515,11316.0,10792.0,524.0,5.0,,,,,,
105,IA,Audubon,6119,5814.345749,4300.530877,253.6937591,0.0,812,3239.0,3110.0,129.0,4.0,,,,,,
106,OH,Auglaize,45949,34826.73652,20455.7835,0.0,0.0,2087,24452.0,23553.0,899.0,4.0,,,,,,
107,VA,Augusta,73750,69474.28278,60913.19365,1863.442304,0.0,2877,36642.0,35139.0,1503.0,4.0,,,,,,
108,SD,Aurora,2710,2710.000009,2710.000009,2706.276304,2210.8815440000003,2407,1568.0,1533.0,35.0,2.0,,,,,,
109,TX,Austin,28417,25572.43386,20356.01353,2352.890652,0.0,2577,14030.0,13386.0,644.0,5.0,,,,,,
110,AL,Autauga,54571,49228.23074,37255.07037,7176.981470000001,0.0,2,25602.0,24272.0,1330.0,5.0,,,,,,
111,NC,Avery,17797,16535.50377,14766.231280000002,0.0,0.0,1932,7531.0,7084.0,447.0,6.0,,,,,,
112,LA,Avoyelles,42073,39163.93955,32935.58034,2026.315218,0.0,1139,15989.0,14787.0,1202.0,8.0,,,,,,
113,CO,Baca,3788,2514.587735,1554.008213,955.2245047,297.68013010000004,258,1969.0,1929.0,40.0,2.0,,,,,,
114,GA,Bacon,11096,10161.36529,8146.7928870000005,353.8613069,0.0,404,4896.0,4615.0,281.0,6.0,,,,,,
115,TX,Bailey,7165,5124.393228,2307.116891,465.23061960000007,10.93338535,2578,2798.0,2678.0,120.0,4.0,,,,,,
116,FL,Baker,27115,25974.84395,23365.02642,4546.891454,50.108892600000004,335,11174.0,10549.0,625.0,6.0,,,,,,
117,GA,Baker,3451,3451.000003,3451.000003,2651.7137199999997,0.0,405,1124.0,1042.0,82.0,7.0,,,,,,
118,OR,Baker,16134,13477.253530000002,8685.469134,3915.38745,2110.553775,2249,6672.0,6222.0,450.0,7.0,,,,,,
119,AL,Baldwin,182265,166758.5654,138070.7997,3265.003813,5.51966776,3,87705.0,82843.0,4862.0,6.0,,,,,,
120,GA,Baldwin,45720,40146.77715,29461.53435,61.10302263,0.0,406,17750.0,16391.0,1359.0,8.0,,,,,,
121,KY,Ballard,8249,7746.254402,7373.238878,498.5704928,0.0,1017,3604.0,3357.0,247.0,7.0,,,,,,
122,MD,Baltimore City,620961,248280.0,20622.0,0.0,0.0,,,,,,,,,,,
123,MD,Baltimore,805029,548047.0,217512.0,0.0,0.0,1219,446382.0,422797.0,23585.0,5.0,,,,,,
123,MD,Baltimore,805029,548047.0,217512.0,0.0,0.0,1240,294550.0,272395.0,22155.0,8.0,,,,,,
124,SC,Bamberg,15987,13854.32535,10060.09025,365.435399,0.0,2364,5460.0,4888.0,572.0,11.0,,,,,,
125,TX,Bandera,20485,19490.90089,18031.39043,2576.3309600000002,714.1373244,2579,9171.0,8807.0,364.0,4.0,,,,,,
126,GA,Banks,18395,18390.95539,18287.83269,1151.995872,0.0,407,8222.0,7764.0,458.0,6.0,,,,,,
127,NE,Banner,690,690.0000065,690.0000065,690.0000065,298.8344791,1688,440.0,425.0,15.0,3.0,,,,,,
128,ID,Bannock,82839,67179.69764,35788.283339999994,4805.948772,8.597324137000001,569,41861.0,40167.0,1694.0,4.0,,,,,,
129,MI,Baraga,8860,7198.563270999999,5726.576271,1320.476202,108.1623684,1263,3291.0,2991.0,300.0,9.0,,,,,,
130,KS,Barber,4861,2710.4603620000003,1820.544332,555.5888692000001,10.73083364,911,2662.0,2549.0,113.0,4.0,,,,,,
131,AL,Barbour,27457,23170.342630000003,18180.53746,5311.901182,0.0,4,8609.0,7844.0,765.0,9.0,,,,,,
132,WV,Barbour,16589,14807.292159999999,12002.8304,118.98922490000001,0.0,3044,6883.0,6373.0,510.0,7.0,,,,,,
133,ND,Barnes,11066,7343.080054999999,4856.1092149999995,2905.78699,663.9150002,2029,5647.0,5466.0,181.0,3.0,,,,,,
134,MA,Barnstable,215888,186894.4587,133268.7479,0.0,0.0,1242,111567.0,104763.0,6804.0,6.0,,,,,,
135,SC,Barnwell,22621,18868.38231,15306.99154,6.581392538999999,0.0,2365,8377.0,7625.0,752.0,9.0,,,,,,
136,KY,Barren,42173,33007.25078,26399.89196,2135.120609,0.0,1018,18393.0,17439.0,954.0,5.0,,,,,,
137,WI,Barron,45870,38962.15294,29829.00053,1747.053721,0.0,3102,24478.0,23258.0,1220.0,5.0,,,,,,
138,GA,Barrow,69367,62170.24748,50700.39452,0.0,0.0,408,36122.0,34224.0,1898.0,5.0,,,,,,
139,MI,Barry,59173,53478.86557,46058.78204,14.36728034,0.0,1264,30170.0,28874.0,1296.0,4.0,,,,,,
140,MO,Barry,35597,32412.744880000002,26516.063830000003,169.795879,0.0,1516,14918.0,14171.0,747.0,5.0,,,,,,
141,IN,Bartholomew,76794,65072.85491,43108.56236,1120.476122,0.0,717,43580.0,42004.0,1576.0,4.0,,,,,,
142,KS,Barton,27674,21258.21868,12277.091359999999,2921.594357,0.0,912,14591.0,13976.0,615.0,4.0,,,,,,
143,MO,Barton,12402,11171.118129999999,8526.042889,1928.468037,0.0,1517,5329.0,5040.0,289.0,5.0,,,,,,
144,GA,Bartow,100157,94356.03049,80764.77283,0.0,0.0,409,46858.0,44103.0,2755.0,6.0,,,,,,
145,TX,Bastrop,74171,72505.46136,68625.88662,16660.85794,0.0,2580,37507.0,36053.0,1454.0,4.0,,,,,,
146,MO,Bates,17049,14709.025930000002,10304.616820000001,700.1514030000001,0.0,1518,8154.0,7658.0,496.0,6.0,,,,,,
147,KY,Bath,11591,10850.20852,10147.76734,15.52776955,0.0,1019,4713.0,4352.0,361.0,8.0,,,,,,
148,VA,Bath,4731,4587.298691,4434.722963,979.461274,0.0,2878,2536.0,2433.0,103.0,4.0,,,,,,
149,AR,Baxter,41513,37690.77643,29704.65757,859.7429558,0.0,121,16217.0,15329.0,888.0,6.0,,,,,,
150,FL,Bay,168852,136710.5309,82480.92792999999,6062.373209,0.0,336,87546.0,82751.0,4795.0,6.0,,,,,,
151,MI,Bay,107771,85375.67709,51422.80927,63.49554358,0.0,1265,52117.0,49111.0,3006.0,6.0,,,,,,
152,WI,Bayfield,15014,13077.67567,11825.009479999999,3779.529282,28.44415036,3103,7535.0,6909.0,626.0,8.0,,,,,,
153,TX,Baylor,3726,2619.272393,1176.336381,277.24310410000004,0.0335159,2581,1625.0,1568.0,57.0,4.0,,,,,,
154,SD,Beadle,17398,13735.43929,6275.847173,2621.720192,165.30663930000003,2408,9452.0,9202.0,250.0,3.0,,,,,,
155,ID,Bear Lake,5986,4978.9698020000005,3583.141083,1549.173696,262.1379204,,,,,,,,,,,
156,NC,Beaufort,47759,41904.39744,33496.96194,2153.615511,0.0,1933,20117.0,18791.0,1326.0,7.0,,,,,,
157,SC,Beaufort,162233,140386.7124,103205.1033,795.1652288,0.0,2366,71661.0,67748.0,3913.0,6.0,,,,,,
158,LA,Beauregard,35654,32475.01389,28167.45201,12284.16365,0.0,1140,15218.0,14253.0,965.0,6.0,,,,,,
159,OK,Beaver,5636,4997.827589,4054.244614,2220.235184,136.24622130000003,2174,3023.0,2941.0,82.0,3.0,,,,,,
