State,State Abb,County,UID (county-state),Unemployment Rate,Population
Texas,TX,Freestone,Freestone-TX,5.45,19816
Texas,TX,Gonzales,Gonzales-TX,3.741666667,19807
Kansas,KS,Dickinson,Dickinson-KS,5.241666667,19754
Alabama,AL,Pickens,Pickens-AL,6.766666667,19746
Texas,TX,Montague,Montague-TX,4.275,19719
Montana,MT,Lincoln,Lincoln-MT,10.025,19687
Texas,TX,Lampasas,Lampasas-TX,4.425,19677
Ohio,OH,Paulding,Paulding-OH,4.783333333,19614
Mississippi,MS,Tishomingo,Tishomingo-MS,6.45,19593
Mississippi,MS,Covington,Covington-MS,5.925,19568
Mississippi,MS,Attala,Attala-MS,7.716666667,19564
South Dakota,SD,Davison,Davison-SD,2.591666667,19504
Texas,TX,Deaf Smith,Deaf Smith-TX,3.208333333,19372
Indiana,IN,Perry,Perry-IN,4.691666667,19338
Texas,TX,Llano,Llano-TX,4.3,19301
Texas,TX,Lavaca,Lavaca-TX,3.85,19263
South Carolina,SC,Lee,Lee-SC,8.508333333,19220
Mississippi,MS,Winston,Winston-MS,8.35,19198
Mississippi,MS,Holmes,Holmes-MS,12.11666667,19198
Tennessee,TN,Smith,Smith-TN,5.708333333,19166
Minnesota,MN,Waseca,Waseca-MN,4.208333333,19136
Kansas,KS,Jefferson,Jefferson-KS,4.241666667,19126
Tennessee,TN,Union,Union-TN,6.883333333,19109
Illinois,IL,Hancock,Hancock-IL,6.4,19104
Missouri,MO,Benton,Benton-MO,6.491666667,19056
Wisconsin,WI,Green Lake,Green Lake-WI,5.45,19051
Minnesota,MN,Houston,Houston-MN,3.833333333,19027
Arkansas,AR,Arkansas,Arkansas-AR,4.383333333,19019
Missouri,MO,Perry,Perry-MO,4.183333333,18971
Missouri,MO,New Madrid,New Madrid-MO,6.2,18956
Iowa,IA,Poweshiek,Poweshiek-IA,3.591666667,18914
Kentucky,KY,Harrison,Harrison-KY,4.691666667,18846
Colorado,CO,Otero,Otero-CO,5.8,18831
Missouri,MO,Wright,Wright-MO,6.166666667,18815
Tennessee,TN,Haywood,Haywood-TN,8.583333333,18787
Washington,WA,Adams,Adams-WA,6.933333333,18728
Tennessee,TN,Dekalb,Dekalb-TN,7,18723
Kentucky,KY,Adair,Adair-KY,7.583333333,18656
Utah,UT,Duchesne,Duchesne-UT,7.341666667,18607
Texas,TX,Eastland,Eastland-TX,4.775,18583
Illinois,IL,Edgar,Edgar-IL,6.4,18576
Virginia,VA,Southampton,Southampton-VA,4.016666667,18570
Texas,TX,Young,Young-TX,4.341666667,18550
California,CA,Inyo,Inyo-CA,5.825,18546
Tennessee,TN,Humphreys,Humphreys-TN,6.933333333,18538
Missouri,MO,Pike,Pike-MO,4.608333333,18516
Arkansas,AR,Drew,Drew-AR,7.15,18509
Iowa,IA,Cedar,Cedar-IA,3.358333333,18499
Virginia,VA,Patrick,Patrick-VA,5.491666667,18490
Virginia,VA,New Kent,New Kent-VA,3.8,18429
Virginia,VA,Greene,Greene-VA,3.666666667,18403
New York,NY,Schuyler,Schuyler-NY,6.583333333,18343
Tennessee,TN,Unicoi,Unicoi-TN,8.141666667,18313
Kentucky,KY,McCreary,McCreary-KY,8.291666667,18306
Missouri,MO,Pemiscot,Pemiscot-MO,9.058333333,18296
Pennsylvania,PA,Montour,Montour-PA,4.183333333,18267
California,CA,Mariposa,Mariposa-CA,7.308333333,18251
Tennessee,TN,Johnson,Johnson-TN,5.825,18244
Texas,TX,Bosque,Bosque-TX,4.55,18212
Kentucky,KY,Hart,Hart-KY,5.2,18199
Iowa,IA,Clayton,Clayton-IA,4.075,18129
Arkansas,AR,Franklin,Franklin-AR,5.15,18125
Wyoming,WY,Lincoln,Lincoln-WY,4.641666667,18106
Wisconsin,WI,Richland,Richland-WI,4.291666667,18021
Arkansas,AR,Jackson,Jackson-AR,7.791666667,17997
Arkansas,AR,Randolph,Randolph-AR,7.375,17969
Tennessee,TN,Fentress,Fentress-TN,7.391666667,17959
New Mexico,NM,Los Alamos,Los Alamos-NM,4.075,17950
Arkansas,AR,Cross,Cross-AR,5.633333333,17870
New Mexico,NM,Socorro,Socorro-NM,7.575,17866
Texas,TX,Falls,Falls-TX,4.283333333,17866
Arkansas,AR,Grant,Grant-AR,4.691666667,17853
North Carolina,NC,Yancey,Yancey-NC,5.941666667,17818
Colorado,CO,Chaffee,Chaffee-CO,3.416666667,17809
Illinois,IL,Union,Union-IL,7.758333333,17808
North Carolina,NC,Avery,Avery-NC,5.983333333,17797
Mississippi,MS,Stone,Stone-MS,7.491666667,17786
Illinois,IL,Bond,Bond-IL,5.333333333,17768
Iowa,IA,Tama,Tama-IA,4.3,17767
Iowa,IA,Delaware,Delaware-IA,3.308333333,17764
Illinois,IL,Warren,Warren-IL,5.433333333,17707
Missouri,MO,Cooper,Cooper-MO,5.808333333,17601
Alabama,AL,Washington,Washington-AL,8.85,17581
Kentucky,KY,Russell,Russell-KY,11.925,17565
West Virginia,WV,Morgan,Morgan-WV,5.541666667,17541
Maine,ME,Piscataquis,Piscataquis-ME,5.766666667,17535
Iowa,IA,Hardin,Hardin-IA,3.883333333,17534
Texas,TX,Gaines,Gaines-TX,3.241666667,17526
Michigan,MI,Benzie,Benzie-MI,0.95,17525
Kentucky,KY,Mason,Mason-KY,6.075,17490
Pennsylvania,PA,Potter,Potter-PA,6.75,17457
Virginia,VA,Westmoreland,Westmoreland-VA,5.408333333,17454
Virginia,VA,Brunswick,Brunswick-VA,6.791666667,17434
Arkansas,AR,Lawrence,Lawrence-AR,6.233333333,17415
South Dakota,SD,Beadle,Beadle-SD,2.666666667,17398
Mississippi,MS,Chickasaw,Chickasaw-MS,7.766666667,17392
Indiana,IN,Rush,Rush-IN,4.35,17392
Indiana,IN,Parke,Parke-IN,5.675,17339
Kentucky,KY,Simpson,Simpson-KY,4.841666667,17327
Alabama,AL,Henry,Henry-AL,6.766666667,17302
Arkansas,AR,Van Buren,Van Buren-AR,6.958333333,17295
Missouri,MO,Andrew,Andrew-MO,4.158333333,17291
Virginia,VA,Giles,Giles-VA,5.125,17286
Arkansas,AR,Sharp,Sharp-AR,7.141666667,17264
Alabama,AL,Fayette,Fayette-AL,7,17241
Indiana,IN,Fountain,Fountain-IN,5.925,17240
Texas,TX,Frio,Frio-TX,3.841666667,17217
Texas,TX,Burleson,Burleson-TX,4.425,17187
Michigan,MI,Kalkaska,Kalkaska-MI,1.075,17153
Colorado,CO,Pitkin,Pitkin-CO,3.875,17148
Virginia,VA,Buckingham,Buckingham-VA,5.841666667,17146
Tennessee,TN,Chester,Chester-TN,6.075,17131
Iowa,IA,Crawford,Crawford-IA,4.083333333,17096
Mississippi,MS,Jasper,Jasper-MS,7.866666667,17062
Kentucky,KY,Spencer,Spencer-KY,4.383333333,17061
Arkansas,AR,Sevier,Sevier-AR,6.333333333,17058
Kentucky,KY,Rockcastle,Rockcastle-KY,6.575,17056
Missouri,MO,Bates,Bates-MO,6.033333333,17049
South Dakota,SD,Hughes,Hughes-SD,2.45,17022
Tennessee,TN,Wayne,Wayne-TN,7.416666667,17021
Kansas,KS,Atchison,Atchison-KS,6.141666667,16924
Texas,TX,Scurry,Scurry-TX,4.133333333,16921
Kentucky,KY,Garrard,Garrard-KY,5.166666667,16912
West Virginia,WV,Taylor,Taylor-WV,6.008333333,16895
Iowa,IA,Jefferson,Jefferson-IA,3.741666667,16843
Wisconsin,WI,Lafayette,Lafayette-WI,3.741666667,16836
Illinois,IL,Lawrence,Lawrence-IL,7.125,16833
Tennessee,TN,Polk,Polk-TN,6.75,16825
Texas,TX,Leon,Leon-TX,5.35,16801
Missouri,MO,Dallas,Dallas-MO,6.15,16777
Illinois,IL,Wayne,Wayne-IL,6.958333333,16760
Nebraska,NE,Seward,Seward-NE,2.858333333,16750
Mississippi,MS,Clarke,Clarke-MS,7.95,16732
Illinois,IL,Piatt,Piatt-IL,5.1,16729
Idaho,ID,Gem,Gem-ID,5.108333333,16719
Iowa,IA,Clay,Clay-IA,3.583333333,16667
Iowa,IA,Dickinson,Dickinson-IA,3.85,16667
Arkansas,AR,Marion,Marion-AR,5.441666667,16653
Wisconsin,WI,Crawford,Crawford-WI,5.916666667,16644
Texas,TX,Robertson,Robertson-TX,4.825,16622
Texas,TX,Lee,Lee-TX,3.583333333,16612
West Virginia,WV,Barbour,Barbour-WV,7.358333333,16589
West Virginia,WV,Wetzel,Wetzel-WV,10.03333333,16583
Oklahoma,OK,Pawnee,Pawnee-OK,5.583333333,16577
Illinois,IL,De Witt,De Witt-IL,5.541666667,16561
Wisconsin,WI,Sawyer,Sawyer-WI,8,16557
Massachusetts,MA,Dukes,Dukes-MA,7.2,16535
Nevada,NV,Humboldt,Humboldt-NV,5.883333333,16528
Kansas,KS,Neosho,Neosho-KS,7.491666667,16512
Mississippi,MS,Smith,Smith-MS,5.483333333,16491
Tennessee,TN,Benton,Benton-TN,7.816666667,16489
Illinois,IL,Mercer,Mercer-IL,6.241666667,16434
Illinois,IL,Pike,Pike-IL,5.183333333,16430
Michigan,MI,Gogebic,Gogebic-MI,1.191666667,16427
New Mexico,NM,Torrance,Torrance-NM,9.025,16383
West Virginia,WV,Lewis,Lewis-WV,8.233333333,16372
Iowa,IA,Iowa,Iowa-IA,3.458333333,16355
Kentucky,KY,Knott,Knott-KY,9.908333333,16346
Illinois,IL,Clark,Clark-IL,6.25,16335
North Dakota,ND,Richland,Richland-ND,2.691666667,16321
Iowa,IA,Floyd,Floyd-IA,3.716666667,16303
Kansas,KS,Osage,Osage-KS,5.008333333,16295
Idaho,ID,Idaho,Idaho-ID,6.125,16267
Virginia,VA,Alleghany,Alleghany-VA,5.075,16250
Minnesota,MN,Kanabec,Kanabec-MN,6.741666667,16239
Illinois,IL,Richland,Richland-IL,6.016666667,16233
Indiana,IN,Vermillion,Vermillion-IN,7.058333333,16212
Colorado,CO,Park,Park-CO,3.441666667,16206
Minnesota,MN,Aitkin,Aitkin-MN,6,16202
Wisconsin,WI,Ashland,Ashland-WI,6.325,16157
Oregon,OR,Baker,Baker-OR,6.908333333,16134
Montana,MT,Hill,Hill-MT,4.233333333,16096
Arkansas,AR,Clay,Clay-AR,6.85,16083
Minnesota,MN,Redwood,Redwood-MN,3.9,16059
South Carolina,SC,Bamberg,Bamberg-SC,10.48333333,15987
Kentucky,KY,Casey,Casey-KY,5.733333333,15955
Indiana,IN,Tipton,Tipton-IN,3.991666667,15936
Virginia,VA,King William,King William-VA,4.208333333,15935
Iowa,IA,Page,Page-IA,4.041666667,15932
Wisconsin,WI,Washburn,Washburn-WI,5.483333333,15911
Virginia,VA,Dickenson,Dickenson-VA,10.06666667,15903
Michigan,MI,Arenac,Arenac-MI,1.25,15899
Wyoming,WY,Carbon,Carbon-WY,3.616666667,15885
Ohio,OH,Harrison,Harrison-OH,6.258333333,15864
Kentucky,KY,Lawrence,Lawrence-KY,9.366666667,15860
Virginia,VA,Nottoway,Nottoway-VA,4.516666667,15853
Oklahoma,OK,Marshall,Marshall-OK,5.291666667,15840
Washington,WA,San Juan,San Juan-WA,4.85,15769
Alabama,AL,Hale,Hale-AL,7.833333333,15760
Nebraska,NE,Otoe,Otoe-NE,3.266666667,15740
Minnesota,MN,Renville,Renville-MN,4.841666667,15730
Arkansas,AR,Madison,Madison-AR,3.941666667,15717
Iowa,IA,Madison,Madison-IA,3.808333333,15679
Iowa,IA,Hamilton,Hamilton-IA,4.183333333,15673
Missouri,MO,Dent,Dent-MO,5.816666667,15657
Montana,MT,Park,Park-MT,4.816666667,15636
Minnesota,MN,Roseau,Roseau-MN,4.083333333,15629
Missouri,MO,Moniteau,Moniteau-MO,4.891666667,15607
North Carolina,NC,Mitchell,Mitchell-NC,6.958333333,15579
Missouri,MO,Macon,Macon-MO,5.341666667,15566
Iowa,IA,Kossuth,Kossuth-IA,2.816666667,15543
Virginia,VA,Grayson,Grayson-VA,5.816666667,15533
Colorado,CO,Las Animas,Las Animas-CO,5.6,15507
Texas,TX,Pecos,Pecos-TX,5.166666667,15507
Idaho,ID,Gooding,Gooding-ID,3.408333333,15464
Wisconsin,WI,Burnett,Burnett-WI,7.141666667,15457
Colorado,CO,Alamosa,Alamosa-CO,5.158333333,15445
Mississippi,MS,Walthall,Walthall-MS,8.191666667,15443
Illinois,IL,Massac,Massac-IL,7.358333333,15429
Kentucky,KY,Henry,Henry-KY,4.791666667,15416
Wisconsin,WI,Marquette,Marquette-WI,6.225,15404
Illinois,IL,Carroll,Carroll-IL,5.525,15387
Mississippi,MS,Tallahatchie,Tallahatchie-MS,7.616666667,15378
Colorado,CO,Gunnison,Gunnison-CO,2.925,15324
Virginia,VA,Floyd,Floyd-VA,3.975,15279
Indiana,IN,Brown,Brown-IN,4.758333333,15242
Minnesota,MN,Sibley,Sibley-MN,4.1,15226
Missouri,MO,Gasconade,Gasconade-MO,4.216666667,15222
Texas,TX,Nolan,Nolan-TX,4.108333333,15216
Oklahoma,OK,Choctaw,Choctaw-OK,7.416666667,15205
Missouri,MO,Livingston,Livingston-MO,4.291666667,15195
South Carolina,SC,Calhoun,Calhoun-SC,7.025,15175
Kansas,KS,Bourbon,Bourbon-KS,4.866666667,15173
Iowa,IA,Mills,Mills-IA,3.966666667,15059
Ohio,OH,Morgan,Morgan-OH,7.258333333,15054
Oklahoma,OK,Kingfisher,Kingfisher-OK,3.008333333,15034
Oklahoma,OK,Craig,Craig-OK,4.65,15029
Virginia,VA,Nelson,Nelson-VA,4.025,15020
Wisconsin,WI,Bayfield,Bayfield-WI,8.433333333,15014
Kentucky,KY,Union,Union-KY,6.858333333,15007
Virginia,VA,Appomattox,Appomattox-VA,4.858333333,14973
Alabama,AL,Cleburne,Cleburne-AL,6.008333333,14972
Mississippi,MS,Calhoun,Calhoun-MS,6.358333333,14962
Iowa,IA,Harrison,Harrison-IA,3.3,14928
West Virginia,WV,Roane,Roane-WV,11.46666667,14926
Kentucky,KY,Pendleton,Pendleton-KY,5.475,14877
Iowa,IA,Butler,Butler-IA,4.283333333,14867
Michigan,MI,Missaukee,Missaukee-MI,0.983333333,14849
Illinois,IL,Moultrie,Moultrie-IL,4.408333333,14846
Pennsylvania,PA,Fulton,Fulton-PA,6.008333333,14845
Colorado,CO,Grand,Grand-CO,3.183333333,14843
Texas,TX,Karnes,Karnes-TX,4.25,14824
North Carolina,NC,Chowan,Chowan-NC,7.241666667,14793
Texas,TX,Andrews,Andrews-TX,3.475,14786
Wisconsin,WI,Rusk,Rusk-WI,5.566666667,14755
Utah,UT,San Juan,San Juan-UT,7.766666667,14746
Illinois,IL,Washington,Washington-IL,3.891666667,14716
Kentucky,KY,Estill,Estill-KY,6.2,14672
Illinois,IL,Mason,Mason-IL,7.191666667,14666
Illinois,IL,White,White-IL,5.8,14665
Ohio,OH,Noble,Noble-OH,7.375,14645
Ohio,OH,Monroe,Monroe-OH,9.95,14642
Tennessee,TN,Crockett,Crockett-TN,6.591666667,14586
Texas,TX,Trinity,Trinity-TX,5.958333333,14585
Alabama,AL,Lamar,Lamar-AL,6.283333333,14564
Minnesota,MN,Faribault,Faribault-MN,4.358333333,14553
West Virginia,WV,Braxton,Braxton-WV,9.016666667,14523
Texas,TX,Newton,Newton-TX,7.45,14445
Mississippi,MS,Greene,Greene-MS,7.866666667,14400
South Dakota,SD,Union,Union-SD,3.458333333,14399
Iowa,IA,O'Brien,O'Brien-IA,2.766666667,14398
Missouri,MO,Mississippi,Mississippi-MO,5.858333333,14358
Kentucky,KY,Fleming,Fleming-KY,6.266666667,14348
Kentucky,KY,Trigg,Trigg-KY,5.833333333,14339
Iowa,IA,Allamakee,Allamakee-IA,4.825,14330
Indiana,IN,Newton,Newton-IN,5.733333333,14244
California,CA,Mono,Mono-CA,6.158333333,14202
Nebraska,NE,Saline,Saline-NE,2.925,14200
Kentucky,KY,Larue,Larue-KY,5.283333333,14193
Oklahoma,OK,Atoka,Atoka-OK,6.358333333,14182
Wisconsin,WI,Price,Price-WI,4.583333333,14159
Arkansas,AR,Lincoln,Lincoln-AR,6.358333333,14134
Tennessee,TN,Sequatchie,Sequatchie-TN,6.675,14112
Missouri,MO,Ripley,Ripley-MO,7.933333333,14100
Illinois,IL,Ford,Ford-IL,5.433333333,14081
Texas,TX,Jackson,Jackson-TX,3.783333333,14075
Michigan,MI,Crawford,Crawford-MI,1.158333333,14074
Virginia,VA,Clarke,Clarke-VA,3.933333333,14034
West Virginia,WV,Hardy,Hardy-WV,7.541666667,14025
Texas,TX,Zapata,Zapata-TX,7.708333333,14018
Oklahoma,OK,Hughes,Hughes-OK,7.233333333,14003
Missouri,MO,Cedar,Cedar-MO,5.3,13982
North Carolina,NC,Swain,Swain-NC,7.883333333,13981
Texas,TX,Lamb,Lamb-TX,9.008333333,13977
Texas,TX,Comanche,Comanche-TX,4.308333333,13974
Iowa,IA,Cass,Cass-IA,3.558333333,13956
North Dakota,ND,Rolette,Rolette-ND,10.05833333,13937
Alabama,AL,Clay,Clay-AL,6.141666667,13932
Minnesota,MN,Pennington,Pennington-MN,5.191666667,13930
West Virginia,WV,Summers,Summers-WV,7.041666667,13927
Kentucky,KY,Morgan,Morgan-KY,7.958333333,13923
Alabama,AL,Crenshaw,Crenshaw-AL,6,13906
Illinois,IL,Greene,Greene-IL,6.208333333,13886
Kentucky,KY,Breathitt,Breathitt-KY,9.525,13878
Missouri,MO,Osage,Osage-MO,3.741666667,13878
Kentucky,KY,Lewis,Lewis-KY,8.558333333,13870
South Dakota,SD,Clay,Clay-SD,3.108333333,13864
Alabama,AL,Choctaw,Choctaw-AL,9.108333333,13859
Minnesota,MN,Wadena,Wadena-MN,5.883333333,13843
Wyoming,WY,Converse,Converse-WY,3.591666667,13833
Texas,TX,Dawson,Dawson-TX,4.55,13833
Illinois,IL,Clay,Clay-IL,7.075,13815
Tennessee,TN,Cannon,Cannon-TN,5.816666667,13801
Colorado,CO,Moffat,Moffat-CO,4.491666667,13795
Arkansas,AR,Howard,Howard-AR,4.4,13789
California,CA,Trinity,Trinity-CA,7.858333333,13786
Texas,TX,Reeves,Reeves-TX,4.816666667,13783
Alabama,AL,Sumter,Sumter-AL,7.966666667,13763
New Mexico,NM,Colfax,Colfax-NM,6.15,13750
Tennessee,TN,Grundy,Grundy-TN,7.908333333,13703
Arkansas,AR,Izard,Izard-AR,6.866666667,13696
Missouri,MO,Douglas,Douglas-MO,6.825,13684
Nebraska,NE,York,York-NE,2.908333333,13665
Texas,TX,Madison,Madison-TX,4.3,13664
Illinois,IL,Cass,Cass-IL,5.7,13642
Kentucky,KY,Webster,Webster-KY,5.183333333,13621
Wisconsin,WI,Buffalo,Buffalo-WI,5,13587
South Dakota,SD,Shannon,Shannon-SD,11.525,13586
Texas,TX,Callahan,Callahan-TX,4.275,13544
Texas,TX,Wilbarger,Wilbarger-TX,4.891666667,13535
Missouri,MO,Wayne,Wayne-MO,5.808333333,13521
West Virginia,WV,Monroe,Monroe-WV,5.583333333,13502
Kentucky,KY,Jackson,Jackson-KY,8.575,13494
Oklahoma,OK,Murray,Murray-OK,4.091666667,13488
Kansas,KS,Jackson,Jackson-KS,3.716666667,13462
North Carolina,NC,Perquimans,Perquimans-NC,7.125,13453
Ohio,OH,Vinton,Vinton-OH,6.583333333,13435
Indiana,IN,Pulaski,Pulaski-IN,4.508333333,13402
Montana,MT,Glacier,Glacier-MT,9.025,13399
Michigan,MI,Presque Isle,Presque Isle-MI,1.308333333,13376
Kansas,KS,Allen,Allen-KS,5.175,13371
Kentucky,KY,Magoffin,Magoffin-KY,14.65,13333
Tennessee,TN,Stewart,Stewart-TN,7.841666667,13324
Minnesota,MN,Koochiching,Koochiching-MN,8.1,13311
Virginia,VA,Madison,Madison-VA,3.491666667,13308
Wyoming,WY,Goshen,Goshen-WY,3.191666667,13249
Idaho,ID,Fremont,Fremont-ID,3.566666667,13242
Iowa,IA,Wright,Wright-IA,3.808333333,13229
Alabama,AL,Conecuh,Conecuh-AL,9.175,13228
North Carolina,NC,Washington,Washington-NC,8.816666667,13228
Arkansas,AR,Little River,Little River-AR,5.641666667,13171
North Carolina,NC,Pamlico,Pamlico-NC,6.058333333,13144
Mississippi,MS,Amite,Amite-MS,7.691666667,13131
Arkansas,AR,Desha,Desha-AR,7.591666667,13008
Washington,WA,Pend Oreille,Pend Oreille-WA,9.416666667,13001
Kentucky,KY,Caldwell,Caldwell-KY,5.633333333,12984
Texas,TX,Morris,Morris-TX,8.883333333,12934
Mississippi,MS,Lawrence,Lawrence-MS,7.416666667,12929
Kentucky,KY,Martin,Martin-KY,9.558333333,12929
Virginia,VA,Lunenburg,Lunenburg-VA,5.208333333,12914
Missouri,MO,Dekalb,Dekalb-MO,4.641666667,12892
Iowa,IA,Appanoose,Appanoose-IA,4.808333333,12887
Tennessee,TN,Bledsoe,Bledsoe-TN,7.933333333,12876
Montana,MT,Big Horn,Big Horn-MT,6.633333333,12865
Texas,TX,Red River,Red River-TX,6.35,12860
Indiana,IN,Pike,Pike-IN,4.366666667,12845
Idaho,ID,Franklin,Franklin-ID,3.075,12786
Oklahoma,OK,Haskell,Haskell-OK,7.641666667,12769
Indiana,IN,Blackford,Blackford-IN,6.025,12766
Idaho,ID,Shoshone,Shoshone-ID,7.725,12765
Missouri,MO,Linn,Linn-MO,6.958333333,12761
Illinois,IL,Menard,Menard-IL,4.766666667,12705
Virginia,VA,Amelia,Amelia-VA,4.441666667,12690
Kentucky,KY,Butler,Butler-KY,5.983333333,12690
