Zipcode,Type,State,County,Population,Unemployment Rate,Rate of people with no education
46723,STANDARD,IN,Whitley County,7486.0,1.9102324338765695,0.053433075073470476
46725,STANDARD,IN,Whitley County,23062.0,2.9268927239614952,0.8325383748157141
46730,STANDARD,IN,DeKalb County,1087.0,2.3919043238270468,0.09199632014719411
46731,STANDARD,IN,Wells County,549.0,0.0,0.0
46732,STANDARD,IN,Noble County,3598.0,4.863813229571984,1.056142301278488
46733,STANDARD,IN,Adams County,18397.0,3.4407783877806164,0.5816165679186824
46737,STANDARD,IN,Steuben County,7621.0,2.781787167038446,0.15745965096444037
46738,STANDARD,IN,DeKalb County,8265.0,4.029038112522686,0.1572897761645493
46740,STANDARD,IN,Adams County,4610.0,2.364425162689805,0.8026030368763557
46741,STANDARD,IN,Allen County,4462.0,3.451367099955177,0.0
46742,STANDARD,IN,Steuben County,3416.0,6.64519906323185,0.8489461358313818
46743,STANDARD,IN,Allen County,2282.0,0.3067484662576687,0.0
46745,STANDARD,IN,Allen County,1922.0,4.578563995837669,0.0
46746,STANDARD,IN,LaGrange County,4221.0,3.9800995024875623,0.0
46747,STANDARD,IN,Steuben County,3026.0,1.4871116986120292,0.3965631196298744
46748,STANDARD,IN,Allen County,5971.0,3.3997655334114887,0.016747613465081225
46750,STANDARD,IN,Huntington County,26957.0,4.117668880068257,0.6380531958303965
46755,STANDARD,IN,Noble County,15372.0,4.300026021337497,0.0
46759,STANDARD,IN,Wells County,343.0,0.0,2.623906705539359
46760,STANDARD,IN,Noble County,1441.0,5.690492713393477,0.0
46761,STANDARD,IN,LaGrange County,12275.0,2.9409368635437882,0.945010183299389
46763,STANDARD,IN,Noble County,1942.0,4.7888774459320285,0.82389289392379
46764,STANDARD,IN,Whitley County,1242.0,3.4621578099838968,0.322061191626409
46765,STANDARD,IN,Allen County,5646.0,2.0722635494155153,0.21253985122210414
46766,STANDARD,IN,Wells County,625.0,3.52,2.88
46767,STANDARD,IN,Noble County,8321.0,5.0474702559788485,0.6729960341305131
46770,STANDARD,IN,Wells County,2774.0,1.40591204037491,0.10814708002883922
46771,PO BOX,IN,LaGrange County,0.0,,
46772,STANDARD,IN,Adams County,3600.0,1.9722222222222223,0.6944444444444444
46773,STANDARD,IN,Allen County,3353.0,3.9665970772442587,0.4771846107963018
46774,STANDARD,IN,Allen County,17308.0,3.8710422925814654,0.27732840305061246
46776,STANDARD,IN,Steuben County,1251.0,1.838529176658673,0.3996802557953637
46777,STANDARD,IN,Wells County,6334.0,2.305020524155352,0.4104831070413641
46779,STANDARD,IN,Steuben County,2271.0,2.289740202553941,0.7485689123734038
46781,STANDARD,IN,Wells County,902.0,1.6629711751662972,0.11086474501108648
46783,STANDARD,IN,Huntington County,6623.0,2.0232523025819114,0.060395591121848106
46784,STANDARD,IN,Noble County,2129.0,5.448567402536402,0.986378581493659
46785,STANDARD,IN,DeKalb County,2023.0,6.722689075630252,0.5437469105289174
46786,PO BOX,IN,LaGrange County,258.0,0.0,0.0
46787,STANDARD,IN,Whitley County,3647.0,3.3726350425006855,0.3016177680285166
46788,STANDARD,IN,Allen County,3210.0,0.9968847352024922,0.24922118380062305
46791,STANDARD,IN,Wells County,1027.0,5.452775073028238,0.2921129503407984
46792,STANDARD,IN,Huntington County,3850.0,3.168831168831169,0.5194805194805194
46793,STANDARD,IN,DeKalb County,4332.0,6.763619575253924,0.7156048014773777
46794,STANDARD,IN,Noble County,1724.0,7.134570765661253,0.0
46795,STANDARD,IN,LaGrange County,6212.0,2.7849323889246618,0.3541532517707663
46797,STANDARD,IN,Allen County,4060.0,3.7438423645320196,0.8374384236453202
46798,STANDARD,IN,Allen County,1567.0,1.4039566049776644,0.0
46799,PO BOX,IN,Wells County,228.0,7.017543859649122,0.0
46802,STANDARD,IN,Allen County,11280.0,7.047872340425532,1.303191489361702
46803,STANDARD,IN,Allen County,9544.0,8.120284995808886,0.9430008382229673
46804,STANDARD,IN,Allen County,28618.0,2.896778251450136,0.265567125585296
46805,STANDARD,IN,Allen County,20565.0,4.906394359348408,0.962800875273523
46806,STANDARD,IN,Allen County,24830.0,6.145791381393476,1.059202577527185
46807,STANDARD,IN,Allen County,16233.0,5.876917390500831,0.7638760549497936
46808,STANDARD,IN,Allen County,19053.0,4.833884427649189,0.955230147483336
46809,STANDARD,IN,Allen County,7944.0,3.801611278952669,0.8308157099697885
46814,STANDARD,IN,Allen County,12285.0,2.66992266992267,0.1221001221001221
46815,STANDARD,IN,Allen County,27522.0,3.5862219315456727,0.3924133420536298
46816,STANDARD,IN,Allen County,18391.0,7.563482138002284,1.6312326681529008
46818,STANDARD,IN,Allen County,20370.0,3.4511536573392245,0.27491408934707906
46819,STANDARD,IN,Allen County,9441.0,3.453024044063129,0.2542103590721322
46825,STANDARD,IN,Allen County,28560.0,3.641456582633053,1.0609243697478992
46835,STANDARD,IN,Allen County,34090.0,2.5872689938398357,0.278674097975946
46845,STANDARD,IN,Allen County,21972.0,1.8751137811760423,0.4232659748771163
46901,STANDARD,IN,Howard County,39174.0,4.719967325266759,1.084903252157043
46902,STANDARD,IN,Howard County,35949.0,4.386770146596567,0.4228212189490667
46910,STANDARD,IN,Fulton County,3482.0,3.790924755887421,0.7754164273406089
46911,STANDARD,IN,Miami County,1230.0,2.6016260162601625,0.16260162601626016
46913,STANDARD,IN,Carroll County,1204.0,3.488372093023256,1.1627906976744187
46914,STANDARD,IN,Miami County,1905.0,3.0446194225721785,0.5774278215223098
46915,STANDARD,IN,Carroll County,624.0,3.5256410256410255,3.6858974358974357
46917,STANDARD,IN,Carroll County,2048.0,3.02734375,0.244140625
46919,STANDARD,IN,Miami County,2470.0,3.4008097165991904,0.0
46920,STANDARD,IN,Carroll County,983.0,8.341810783316378,0.9155645981688708
46922,PO BOX,IN,Fulton County,29.0,0.0,0.0
46923,STANDARD,IN,Carroll County,8232.0,4.215257531584062,0.9839650145772595
46926,STANDARD,IN,Miami County,1781.0,2.4143739472206627,0.3930376193149916
46928,STANDARD,IN,Grant County,4815.0,2.5752855659397715,0.16614745586708204
46929,STANDARD,IN,Carroll County,3207.0,4.583723105706268,0.4677268475210477
46930,PO BOX,IN,Grant County,104.0,4.8076923076923075,0.9615384615384616
46931,PO BOX,IN,Fulton County,231.0,4.761904761904762,0.4329004329004329
46932,STANDARD,IN,Cass County,3481.0,2.125825912094226,0.31600114909508764
46933,STANDARD,IN,Grant County,6477.0,4.384746024394009,0.5249343832020997
46936,STANDARD,IN,Howard County,5988.0,4.0915163660654645,0.7682030728122913
46938,STANDARD,IN,Grant County,2976.0,3.360215053763441,0.8064516129032258
46939,STANDARD,IN,Fulton County,2020.0,3.9603960396039604,0.0
46940,STANDARD,IN,Wabash County,2635.0,4.098671726755218,0.3415559772296015
46941,STANDARD,IN,Wabash County,1096.0,3.4671532846715327,0.5474452554744526
46943,STANDARD,IN,Wabash County,152.0,0.0,0.0
46946,PO BOX,IN,Wabash County,118.0,0.0,0.0
46947,STANDARD,IN,Cass County,28341.0,4.523481881373275,1.4360820013408138
46950,STANDARD,IN,Cass County,733.0,1.7735334242837653,0.8185538881309686
46951,STANDARD,IN,Miami County,1861.0,5.6421278882321335,0.42987641053197206
46952,STANDARD,IN,Grant County,19373.0,3.267434057709183,0.44391679141072626
46953,STANDARD,IN,Grant County,24547.0,5.609646800016296,0.5377439198272701
46957,PO BOX,IN,Grant County,536.0,2.985074626865672,0.0
46958,PO BOX,IN,Miami County,509.0,4.911591355599215,4.12573673870334
46959,STANDARD,IN,Miami County,636.0,15.880503144654089,0.0
46960,STANDARD,IN,Pulaski County,979.0,2.247191011235955,0.40858018386108275
46961,STANDARD,IN,Cass County,81.0,0.0,0.0
46962,STANDARD,IN,Wabash County,9940.0,2.756539235412475,0.2515090543259557
46967,PO BOX,IN,Cass County,131.0,12.213740458015268,0.0
46968,STANDARD,IN,Starke County,81.0,0.0,0.0
46970,STANDARD,IN,Miami County,23443.0,4.333916307639807,1.2626370345092353
46974,STANDARD,IN,Wabash County,1606.0,2.1170610211706102,0.5603985056039851
46975,STANDARD,IN,Fulton County,14259.0,2.2792622203520585,0.5540360474086542
46978,STANDARD,IN,Cass County,2150.0,2.8372093023255816,0.46511627906976744
46979,STANDARD,IN,Howard County,4920.0,2.2560975609756095,0.4065040650406504
46982,STANDARD,IN,Kosciusko County,2471.0,5.503844597329016,1.0117361392148927
46984,PO BOX,IN,Wabash County,224.0,0.0,0.0
46985,STANDARD,IN,Pulaski County,1324.0,2.6435045317220545,0.0
46986,STANDARD,IN,Grant County,1785.0,3.249299719887955,0.4481792717086835
46987,PO BOX,IN,Grant County,705.0,3.2624113475177303,0.5673758865248227
46988,STANDARD,IN,Cass County,876.0,5.47945205479452,0.0
46989,STANDARD,IN,Grant County,5010.0,2.8542914171656686,0.0
46990,STANDARD,IN,Wabash County,1083.0,1.9390581717451523,1.10803324099723
46991,STANDARD,IN,Grant County,1806.0,2.2702104097452933,0.6644518272425249
46992,STANDARD,IN,Wabash County,16169.0,4.168470530026594,0.649390809573876
46994,STANDARD,IN,Cass County,2873.0,4.559693699965194,1.183431952662722
46996,STANDARD,IN,Pulaski County,7059.0,3.4990791896869244,0.7224819379515512
46998,PO BOX,IN,Cass County,104.0,7.6923076923076925,0.0
47001,STANDARD,IN,Dearborn County,10547.0,5.7172655731487625,0.7585095287759552
47003,STANDARD,IN,Union County,1002.0,3.8922155688622753,0.499001996007984
47006,STANDARD,IN,Ripley County,11355.0,1.215323645970938,0.14971378247468076
47010,STANDARD,IN,Franklin County,374.0,0.0,0.0
47011,STANDARD,IN,Switzerland County,611.0,4.582651391162029,0.0
47012,STANDARD,IN,Franklin County,10048.0,3.5429936305732483,0.42794585987261147
47016,STANDARD,IN,Franklin County,919.0,3.1556039173014145,0.0
47017,STANDARD,IN,Ripley County,328.0,6.097560975609756,2.1341463414634148
47018,STANDARD,IN,Dearborn County,4317.0,5.142460041695622,0.1853138753764188
47020,STANDARD,IN,Switzerland County,1309.0,4.81283422459893,1.2987012987012987
47022,STANDARD,IN,Dearborn County,3254.0,2.735095267363245,0.0
47023,STANDARD,IN,Ripley County,1400.0,4.785714285714286,0.8571428571428571
47024,STANDARD,IN,Franklin County,3301.0,3.2111481369282036,0.6967585580127235
47025,STANDARD,IN,Dearborn County,22789.0,3.8659002150160164,0.6231076396507087
47030,STANDARD,IN,Franklin County,1586.0,2.9634300126103406,0.0
47031,STANDARD,IN,Ripley County,5289.0,4.934770277935337,0.5861221402911704
47032,STANDARD,IN,Dearborn County,3186.0,8.443188951663528,0.031387319522912745
47034,PO BOX,IN,Ripley County,130.0,3.076923076923077,0.0
47035,PO BOX,IN,Franklin County,327.0,19.571865443425075,5.81039755351682
47036,STANDARD,IN,Franklin County,1091.0,2.841429880843263,0.458295142071494
47037,STANDARD,IN,Ripley County,4654.0,4.426299957026214,0.2578427159432746
47038,STANDARD,IN,Switzerland County,1807.0,6.640841173215274,0.16602102933038185
47040,STANDARD,IN,Ohio County,5438.0,3.493931592497242,1.3975726369988966
47041,STANDARD,IN,Ripley County,6440.0,2.0031055900621118,0.10869565217391304
47042,STANDARD,IN,Ripley County,4338.0,5.002305209774089,0.46104195481788846
47043,STANDARD,IN,Switzerland County,5308.0,3.918613413715147,0.41446872645064053
47060,STANDARD,IN,Dearborn County,6179.0,2.427577277876679,0.04855154555753358
47102,STANDARD,IN,Scott County,7540.0,6.472148541114058,0.8885941644562334
47104,STANDARD,IN,Clark County,32.0,0.0,0.0
47106,STANDARD,IN,Clark County,4366.0,2.863032524049473,0.8703618873110398
47108,STANDARD,IN,Washington County,2227.0,3.7718904355635385,0.449034575662326
47110,STANDARD,IN,Harrison County,656.0,12.042682926829269,0.0
47111,STANDARD,IN,Clark County,15338.0,3.8792541400443343,0.6780545051506064
47112,STANDARD,IN,Harrison County,16510.0,3.7431859479103573,0.8600847970926712
47114,STANDARD,IN,Harrison County,371.0,2.6954177897574123,0.0
47115,STANDARD,IN,Harrison County,2504.0,2.5559105431309903,0.23961661341853036
47116,STANDARD,IN,Crawford County,706.0,1.5580736543909348,0.0
47117,STANDARD,IN,Harrison County,4294.0,2.95761527713088,0.5356311131811831
47118,STANDARD,IN,Crawford County,3345.0,2.571001494768311,0.866965620328849
47119,STANDARD,IN,Floyd County,11127.0,2.6062730295677183,0.0
47120,STANDARD,IN,Washington County,894.0,5.257270693512305,0.33557046979865773
47122,STANDARD,IN,Floyd County,10521.0,3.877958368976333,0.36118239711054084
47123,STANDARD,IN,Crawford County,95.0,0.0,0.0
47124,STANDARD,IN,Floyd County,4190.0,2.3627684964200477,0.0954653937947494
47125,STANDARD,IN,Washington County,1625.0,2.4615384615384617,0.06153846153846154
47126,STANDARD,IN,Clark County,4294.0,2.421984163949697,0.02328830926874709
47129,STANDARD,IN,Clark County,19658.0,3.1437582663546646,0.9512666598840167
47130,STANDARD,IN,Clark County,45385.0,3.928610774484962,0.8505012669384158
47135,STANDARD,IN,Harrison County,1292.0,2.5541795665634677,0.23219814241486067
47136,STANDARD,IN,Harrison County,4463.0,4.055568003585033,0.0
47137,STANDARD,IN,Crawford County,1547.0,1.3574660633484164,0.1292824822236587
47138,STANDARD,IN,Scott County,4716.0,3.986429177268872,0.0
47140,STANDARD,IN,Crawford County,2345.0,2.473347547974414,0.8528784648187633
47141,STANDARD,IN,Clark County,1825.0,6.3561643835616435,0.4931506849315068
47142,STANDARD,IN,Harrison County,997.0,6.920762286860581,0.0
47143,STANDARD,IN,Clark County,3037.0,4.774448468883767,0.5268356931182088
47145,STANDARD,IN,Crawford County,2003.0,6.040938592111832,0.5991013479780329
47147,STANDARD,IN,Clark County,1209.0,2.0678246484698097,0.9098428453267163
47150,STANDARD,IN,Floyd County,48394.0,4.4798942017605485,0.6075133280985247
47160,STANDARD,IN,Harrison County,27.0,0.0,0.0
47161,STANDARD,IN,Harrison County,3775.0,1.4834437086092715,0.0
47162,STANDARD,IN,Clark County,668.0,1.7964071856287425,0.0
47163,STANDARD,IN,Clark County,2039.0,4.070622854340363,0.0
47164,STANDARD,IN,Harrison County,3464.0,6.437644341801386,0.9815242494226328
47165,STANDARD,IN,Washington County,6341.0,6.024286390159281,0.9777637596593597
47166,STANDARD,IN,Harrison County,1555.0,5.209003215434084,0.0
47167,STANDARD,IN,Washington County,15361.0,4.791354729509798,1.1001887897923313
47170,STANDARD,IN,Scott County,14205.0,4.667370644139387,0.6124604012671595
47172,STANDARD,IN,Clark County,16639.0,2.3318709057034677,0.306508804615662
47175,STANDARD,IN,Crawford County,778.0,0.0,0.0
47177,STANDARD,IN,Clark County,1106.0,2.3508137432188065,0.0
47201,STANDARD,IN,Bartholomew County,43689.0,3.154112019043695,0.7484721554624734
47203,STANDARD,IN,Bartholomew County,27053.0,2.447048386500573,0.414002143939674
47220,STANDARD,IN,Jackson County,5623.0,2.774319758136226,0.6757958385203628
47223,STANDARD,IN,Jennings County,1463.0,4.716336295283663,0.9569377990430622
47224,STANDARD,IN,Switzerland County,537.0,0.0,4.283054003724395
47226,PO BOX,IN,Bartholomew County,212.0,4.716981132075472,0.0
47227,STANDARD,IN,Jennings County,1928.0,1.1929460580912863,0.5186721991701245
47229,STANDARD,IN,Jackson County,3009.0,4.087736789631107,0.9305417082087072
47230,STANDARD,IN,Jefferson County,1684.0,3.9192399049881237,0.0
47231,STANDARD,IN,Jefferson County,993.0,12.58811681772407,0.2014098690835851
47232,STANDARD,IN,Bartholomew County,2937.0,3.4388832141641132,0.44262853251617296
47234,STANDARD,IN,Shelby County,1905.0,5.1443569553805775,0.5249343832020997
47235,STANDARD,IN,Jackson County,1553.0,7.405022537025113,0.0
47240,STANDARD,IN,Decatur County,21254.0,3.359367648442646,0.31052978262915215
47243,STANDARD,IN,Jefferson County,5911.0,3.941803417357469,0.42294028083234647
47244,STANDARD,IN,Bartholomew County,674.0,2.077151335311573,0.14836795252225518
47246,STANDARD,IN,Bartholomew County,4660.0,3.1759656652360513,0.0
47247,PO BOX,IN,Bartholomew County,119.0,6.722689075630252,0.0
47250,STANDARD,IN,Jefferson County,22296.0,4.633118048080373,0.6413706494438465
47260,STANDARD,IN,Jackson County,1640.0,5.304878048780488,0.6097560975609756
47263,PO BOX,IN,Decatur County,206.0,0.970873786407767,0.970873786407767
47264,STANDARD,IN,Jackson County,1754.0,6.955530216647663,0.0
47265,STANDARD,IN,Jennings County,20595.0,4.442825928623452,1.3838310269482885
47270,STANDARD,IN,Jennings County,634.0,0.0,0.0
47272,STANDARD,IN,Decatur County,2204.0,3.4029038112522687,0.5444646098003629
47273,STANDARD,IN,Jennings County,1808.0,11.670353982300885,1.1615044247787611
47274,STANDARD,IN,Jackson County,30234.0,3.2446914070252033,0.42667195872196867
47280,PO BOX,IN,Bartholomew County,1027.0,0.0,0.0
47281,STANDARD,IN,Jackson County,1257.0,2.7844073190135243,0.0
47282,PO BOX,IN,Jennings County,299.0,0.0,0.0
47283,STANDARD,IN,Decatur County,3016.0,2.7519893899204244,0.09946949602122016
47302,STANDARD,IN,Delaware County,27196.0,6.059714663921165,0.8493896161200176
47303,STANDARD,IN,Delaware County,26061.0,5.744215494416945,0.4758067610605886
47304,STANDARD,IN,Delaware County,30733.0,3.4230306185533466,0.26681417368951943
47305,STANDARD,IN,Delaware County,3986.0,6.949322629202208,0.4515805318615153
47306,UNIQUE,IN,Delaware County,5365.0,10.69897483690587,0.0
47320,STANDARD,IN,Delaware County,4130.0,2.9782082324455206,0.3389830508474576
47324,PO BOX,IN,Wayne County,150.0,6.0,0.0
47325,STANDARD,IN,Union County,527.0,0.0,1.3282732447817838
47326,STANDARD,IN,Jay County,2210.0,1.6289592760180995,0.04524886877828054
47327,STANDARD,IN,Wayne County,4489.0,5.012252171975941,0.46781020271775453
47330,STANDARD,IN,Wayne County,5707.0,6.097774662694936,0.42053618363413353
47331,STANDARD,IN,Fayette County,22922.0,5.422737980978972,1.3655003926358957
47334,STANDARD,IN,Delaware County,3264.0,4.8713235294117645,0.36764705882352944
47335,PO BOX,IN,Wayne County,730.0,4.794520547945205,0.410958904109589
47336,STANDARD,IN,Jay County,3696.0,4.518398268398268,0.6222943722943723
47337,PO BOX,IN,Henry County,208.0,12.01923076923077,0.9615384615384616
47338,STANDARD,IN,Delaware County,2578.0,4.809930178432894,0.5430566330488751
47339,STANDARD,IN,Wayne County,599.0,4.173622704507513,0.667779632721202
47340,STANDARD,IN,Randolph County,2944.0,2.989130434782609,0.10190217391304347
47341,STANDARD,IN,Wayne County,2179.0,5.002294630564479,0.6424965580541533
47342,STANDARD,IN,Delaware County,2972.0,1.749663526244953,0.5383580080753702
47344,PO BOX,IN,Henry County,99.0,8.080808080808081,1.0101010101010102
47345,STANDARD,IN,Wayne County,1468.0,6.267029972752043,0.5449591280653951
47346,STANDARD,IN,Wayne County,4066.0,3.074274471224791,0.36891293654697493
47348,STANDARD,IN,Blackford County,9837.0,4.564399715360374,0.46762224255362406
47351,PO BOX,IN,Henry County,435.0,9.195402298850574,3.218390804597701
47352,STANDARD,IN,Henry County,1021.0,3.2321253672869736,0.3917727717923604
47353,STANDARD,IN,Union County,5879.0,4.269433577138969,0.30617451947610136
47354,STANDARD,IN,Randolph County,1095.0,6.210045662100456,0.365296803652968
47355,STANDARD,IN,Randolph County,2764.0,2.496382054992764,1.085383502170767
47356,STANDARD,IN,Henry County,5832.0,4.62962962962963,0.8573388203017832
47357,STANDARD,IN,Wayne County,1251.0,3.8369304556354917,0.0
47358,STANDARD,IN,Randolph County,1005.0,3.781094527363184,0.29850746268656714
47359,STANDARD,IN,Blackford County,2834.0,3.4932956951305574,0.5645730416372619
47360,STANDARD,IN,Henry County,1452.0,2.0661157024793386,0.4820936639118457
47361,PO BOX,IN,Henry County,191.0,5.7591623036649215,0.0
47362,STANDARD,IN,Henry County,29921.0,4.63219812172053,0.735269543130243
47367,PO BOX,IN,Delaware County,117.0,0.0,0.0
47368,STANDARD,IN,Randolph County,3085.0,1.6207455429497568,1.2317666126418152
47369,STANDARD,IN,Jay County,1473.0,4.344874405974203,1.3577732518669383
47371,STANDARD,IN,Jay County,12280.0,4.047231270358306,0.9201954397394136
47373,STANDARD,IN,Jay County,2081.0,4.757328207592503,0.38443056222969724
47374,STANDARD,IN,Wayne County,46333.0,3.856862279584745,0.6625946949258628
47380,STANDARD,IN,Randolph County,1916.0,2.661795407098121,0.9916492693110647
47381,STANDARD,IN,Jay County,205.0,6.341463414634147,0.4878048780487805
47382,PO BOX,IN,Randolph County,156.0,0.0,1.2820512820512822
47383,STANDARD,IN,Delaware County,2784.0,3.8793103448275863,0.6824712643678161
47384,STANDARD,IN,Henry County,1984.0,4.485887096774194,0.655241935483871
47385,STANDARD,IN,Henry County,1754.0,4.047890535917902,0.6841505131128849
47386,STANDARD,IN,Henry County,1404.0,5.128205128205129,0.2849002849002849
47387,STANDARD,IN,Henry County,649.0,2.9275808936825887,0.0
47388,PO BOX,IN,Henry County,390.0,2.8205128205128207,0.0
