city,state,2015_murders,2016_murders,change,source,as_of,population,"murder rate (per 100,000)"
Minneapolis,Minnesota,34,26,-8,http://www.minneapolismn.gov/police/statistics/crime-statistics_codefor_arrests,10/3/16,410939,6.3
Sacramento,California,31,21,-10,SPD,9/22/16,490712,4.3
Fresno,California,30,19,-11,http://www.fresno.gov/CityOfFresno/Templates/StandardTemplate.aspx?NRMODE=Published&NRNODEGUID=%7bA9D853FB-EBA4-4900-8435-B880D98AE480%7d&NRORIGINALURL=%2fGovernment%2fDepartmentDirectory%2fPolice%2fAboutFresnoPD%2fCrimeReportsandStatistics%2fMonthlyCrimeStatistics%2ehtm&NRCACHEHINT=Guest,7/31/16,520052,3.7
Fort Worth,Texas,61,49,-12,FWPD,9/27/16,833319,5.9
Oakland,California,65,52,-13,http://www2.oaklandnet.com/government/o/OPD/s/Statistics/index.htm,10/2/16,419267,12.4
Washington,D.C.,119,105,-14,http://mpdc.dc.gov/page/district-crime-data-glance,9/30/16,#N/A,#N/A
New York,New York,266,252,-14,https://compstat.nypdonline.org/,9/25/16,8550405,2.9
Omaha,Nebraska,34,20,-14,http://dataomaha.com/homicides,9/5/16,443885,4.5
Miami,Florida,62,45,-17,MPD,9/21/16,441003,10.2
Baltimore,Maryland,249,230,-19,https://data.baltimorecity.gov/Public-Safety/Summarized-Crime-Data-By-District-Week-26/4nh3-w6zf,10/1/16,621849,37
Milwaukee,Wisconsin,105,84,-21,http://itmdapps.milwaukee.gov/publicApplication_SR/policeDistrict/policeDistrictfm.faces,9/28/16,600155,14
